83,1546,430
91,2049,478
88,1689,460
90,2153,475
87,2116,455
95,2265,498
92,1885,479
91,1958,491
98,2628,531
83,1623,412
100,2590,529
91,2160,472
84,1547,440
91,2278,469
93,1974,502
96,2107,506
86,1786,448
94,2333,504
80,1730,411
81,1564,407
97,2263,517
94,2115,498
93,2055,496
97,2438,522
83,1571,427
83,1577,432
93,1963,487
94,2645,498
85,2112,439
85,1839,437
91,2234,481
82,1690,409
99,2694,537
85,1750,441
90,2097,461
99,2474,538
86,1965,454
100,2436,549
83,1756,428
97,2400,526
86,1767,976
85,1868,1420
86,1694,1875
92,2185,2359
99,2405,536
89,2221,998
100,2314,1536
91,1921,2009
82,1592,2431
100,2239,533
94,2338,1030
81,1701,1445
100,2480,1991
89,2206,2459
83,1664,425
86,2065,870
83,1609,1298
87,2127,1756
97,2227,2285
81,1534,414
82,1674,827
90,2019,1302
91,1808,1782
96,2286,2288
100,2425,545
91,1821,1037
80,1332,1448
92,2062,1934
91,1937,2407
82,1768,419
83,1594,435
88,1894,462
81,1523,420
86,1786,450
87,1716,451
85,1881,438
99,2327,535
93,2187,494
98,2461,521
84,1702,438
94,2125,497
80,1759,421
85,1793,435
94,2301,502
95,2629,502
92,2012,491
86,1618,461
98,2495,524
99,2290,533
80,1631,416
97,2423,520
91,2092,484
94,2017,499
100,2433,544
90,1946,467
44,459,185
15,45,40
15,69,41
29,240,107
37,331,150
20,90,65
34,232,127
19,101,61
12,26,29
2,1,1
18,73,53
0,0,0
2,1,1
18,74,56
20,95,66
0,0,0
0,0,0
0,0,0
0,0,0
9,9,15
3,0,2
3,0,2
8,21,13
7,13,14
3,1,3
0,0,0
1,0,0
7,9,12
3,2,3
6,9,8
10,23,22
10,16,23
9,11,17
3,0,2
3,3,3
1,0,0
10,13,19
9,12,20
9,13,17
9,27,20
10,25,24
9,24,21
10,15,23
9,17,21
10,16,22
10,20,22
10,18,23
2,0,1
3,1,2
6,6,9
1,0,0
9,13,19
9,24,20
481,58376,3674
912,204991,7830
8690,19035250,102767
1767,764675,16869
1325,449256,12117
4063,4124363,43594
7815,14989687,91288
3227,2625975,33605
9363,21936206,111840
